lr,bs,val_loss_mean,val_loss_std,val_macro_f1_mean,val_macro_f1_std,val_wf1_mean,val_wf1_std,test_macro_f1_mean,test_macro_f1_std,test_wf1_mean,test_wf1_std,test_acc_mean,test_acc_std
0.0001,8,0.9882,0.05856962608724765,0.57902,0.038990003847140124,0.588,0.03775326873265408,0.5580533333333334,0.043192539093381964,0.5609933333333333,0.04065809185553763,0.5670099999999999,0.04124000000000001
3e-05,8,0.9412766666666667,0.04002190566843781,0.5608566666666667,0.016856180864399047,0.5655233333333333,0.01646892933172444,0.5952533333333334,0.02895666820152719,0.5965600000000001,0.02408448463222742,0.5979366666666667,0.023620995604193566
2e-05,8,0.9452133333333333,0.04936407026708121,0.5544166666666667,0.03395067353283783,0.5621833333333334,0.03396209848247499,0.5225366666666666,0.010678990276862897,0.5271033333333334,0.011868725008750225,0.53093,0.010310000000000041
3e-05,16,0.9654333333333334,0.03390998722107304,0.5374866666666667,0.018829206922579958,0.5441333333333334,0.015584576777485301,0.5365700000000001,0.03986212111767258,0.53837,0.03841701706275481,0.5377966666666667,0.03868824153839683
2e-05,16,0.9714133333333334,0.03069664856842401,0.5234433333333334,0.016923068082748283,0.5309066666666666,0.012228582637956615,0.51508,0.05168426549734453,0.5172866666666667,0.048527250420081866,0.5189,0.04648556012354806
1e-05,8,1.0009466666666667,0.02084532641465068,0.5048166666666667,0.01569204363151378,0.5093933333333334,0.012693704476366727,0.46812666666666664,0.03135645441266173,0.47084333333333334,0.030613664160523676,0.4707866666666667,0.030202699106757557
1e-05,16,1.05386,0.0061993951317850255,0.46008333333333334,0.03171082044560396,0.4599533333333334,0.024373363192906613,0.4619633333333333,0.03599506401346345,0.4631133333333333,0.03290470229820249,0.4639166666666667,0.03380130816008954
0.0001,16,1.0221099999999999,0.04174398519547443,0.4381733333333333,0.0711084751160741,0.4527966666666667,0.05800755238185223,0.45402000000000003,0.08723863880185201,0.4629833333333333,0.07709939645245825,0.49484666666666666,0.05454972257796854
